columns,kernel,gamma,cost,error,dispersion,degree
readforms,polynomial3,0.1,1,0.2716165413533834,0.03994575894749776,3
readforms,polynomial3,1,1,0.27706766917293235,0.04267689569449614,3
readforms,polynomial3,0.001,10,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.01,10,0.4494047619047619,0.05343706126097382,3
readforms,polynomial3,0.1,10,0.26278195488721806,0.03749284408347472,3
readforms,polynomial3,1,10,0.26644736842105265,0.040159559250347435,3
readforms,polynomial4,0.001,0.001,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.01,0.001,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.1,0.001,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.001,0.01,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.01,0.01,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.1,0.01,0.45147243107769425,0.059883720775605415,4
readforms,polynomial4,0.001,0.1,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.01,0.1,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.1,0.1,0.45147243107769425,0.059883720775605415,4
readforms,polynomial4,0.001,1,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.01,1,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.1,1,0.46729323308270676,0.047997286823271486,4
readforms,polynomial4,0.001,10,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.01,10,0.44968671679197997,0.06090012120763964,4
readforms,polynomial4,0.1,10,0.4104636591478697,0.08094339255535435,4
readforms,polynomial5,0.001,0.001,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.01,0.001,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.1,0.001,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.001,0.01,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.01,0.01,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.1,0.01,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.001,0.1,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.01,0.1,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.1,0.1,0.43853383458646616,0.08321859321087109,5
readforms,polynomial5,0.001,1,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.01,1,0.4490914786967419,0.07194354834357286,5
readforms,polynomial5,0.1,1,0.34266917293233085,0.07387991838615313,5
readforms,sigmoid,0.001,0.001,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,0.01,0.001,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,0.1,0.001,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,1,0.001,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,10,0.001,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,100,0.001,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,1000,0.001,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,0.001,0.01,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,0.01,0.01,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,0.1,0.01,0.25761278195488724,0.055436287655433604,NA
readforms,sigmoid,1,0.01,0.2931077694235589,0.03511232577937266,NA
readforms,sigmoid,10,0.01,0.29310776942355893,0.029682176402293252,NA
readforms,sigmoid,100,0.01,0.29310776942355893,0.029682176402293252,NA
readforms,sigmoid,1000,0.01,0.29310776942355893,0.029682176402293252,NA
readforms,sigmoid,0.001,0.1,0.44937343358395987,0.0597250332506566,NA
readforms,sigmoid,0.01,0.1,0.2611842105263158,0.04335425339127673,NA
readforms,sigmoid,0.1,0.1,0.25761278195488724,0.04263083742827714,NA
readforms,sigmoid,1,0.1,0.362437343358396,0.06287823700972604,NA
readforms,sigmoid,10,0.1,0.34479949874686716,0.06633704838466391,NA
readforms,sigmoid,100,0.1,0.33765664160401004,0.07461693136743948,NA
readforms,sigmoid,1000,0.1,0.30548245614035086,0.0637687523158979,NA
